delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-280.86087,443.62952,-280.86087,443.62952,-Infinity,Infinity
41,-281.67853,442.26877,-0.8176575,-1.3607483,-0.019942865,-0.033188984
32,-283.5017,442.79993,-1.8231812,0.53115845,-0.05697441,0.016598701
32,-285.97797,442.4928,-2.4762573,-0.3071289,-0.07738304,-0.009597778
37,-294.13818,442.7413,-8.160217,0.24850464,-0.22054641,0.0067163417
33,-363.78845,456.4464,-69.65027,13.705109,-2.1106143,0.41530633
30,-378.05048,461.99292,-14.262024,5.546509,-0.4754008,0.18488362
36,-377.23035,461.10858,0.8201294,-0.8843384,0.022781372,-0.024564955
34,-376.54025,460.27832,0.690094,-0.83026123,0.020296883,-0.024419447
31,-376.68604,457.78027,-0.14578247,-2.4980469,-0.0047026603,-0.08058216
34,-375.97415,456.31223,0.71188354,-1.4680481,0.020937752,-0.043177884
34,-375.1074,455.1326,0.86676025,-1.1796265,0.02549295,-0.034694895
31,-374.35553,453.75354,0.7518616,-1.3790588,0.0242536,-0.04448577
35,-373.75055,451.3036,0.60498047,-2.4499512,0.017285157,-0.06999861
33,-374.46188,448.792,-0.7113342,-2.5115967,-0.021555582,-0.07610899
32,-375.32248,446.319,-0.8605957,-2.472992,-0.026893616,-0.077281
38,-375.59506,444.1266,-0.272583,-2.1924133,-0.007173237,-0.057695087
32,-377.7123,442.07495,-2.1172485,-2.0516357,-0.06616402,-0.06411362
31,-379.5154,440.44626,-1.8031006,-1.6286926,-0.058164533,-0.052538473
42,-381.31793,439.1707,-1.8025208,-1.2755737,-0.042917162,-0.030370804
57,-385.77243,437.68347,-4.4544983,-1.4872131,-0.078149095,-0.026091458
38,-388.71304,436.76035,-2.9406128,-0.9231262,-0.07738455,-0.024292795
32,-424.17444,402.0112,-35.461395,-34.749146,-1.1081686,-1.0859108
30,-417.64255,403.10928,6.531891,1.0980835,0.2177297,0.036602784
38,-415.8055,401.80127,1.8370361,-1.3080139,0.048343055,-0.034421418
32,-415.12262,403.7586,0.68289185,1.9573364,0.02134037,0.061166763
31,-414.27487,404.87534,0.8477478,1.1167297,0.027346704,0.03602354
37,-410.98657,405.62146,3.2882996,0.74612427,0.08887296,0.020165522
32,-407.1604,404.6388,3.8261719,-0.982666,0.11956787,-0.030708313
