delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-505.6051,145.25226,-505.6051,145.25226,-Infinity,Infinity
41,-513.2582,148.56209,-7.653076,3.3098297,-0.1866604,0.080727555
32,-521.4219,140.6857,-8.163696,-7.8763885,-0.2551155,-0.24613714
33,-536.95624,137.44641,-15.534363,-3.2392883,-0.47073826,-0.09816025
36,-542.909,133.76117,-5.952759,-3.6852417,-0.16535442,-0.102367826
33,-549.8369,117.499756,-6.9279175,-16.261414,-0.20993689,-0.4927701
30,-550.1861,121.392914,-0.34918213,3.893158,-0.011639404,0.12977193
36,-548.4373,123.29097,1.7487793,1.898056,0.048577204,0.05272378
34,-544.8579,122.49368,3.5794067,-0.797287,0.10527667,-0.023449617
31,-540.6922,117.11809,4.1657104,-5.375595,0.13437776,-0.17340629
34,-539.97003,104.52173,0.72216797,-12.596359,0.021240234,-0.37048116
34,-541.7766,108.14072,-1.8065796,3.618988,-0.053134695,0.10644083
31,-542.6407,98.93941,-0.8640747,-9.201309,-0.027873378,-0.29681644
35,-543.6718,99.33568,-1.0311279,0.39627075,-0.029460797,0.0113220215
33,-543.8153,96.59392,-0.14349365,-2.7417603,-0.0043482925,-0.083083645
32,-544.6731,94.852036,-0.8577881,-1.7418823,-0.026805878,-0.054433823
38,-546.83405,87.877335,-2.1609497,-6.974701,-0.056867097,-0.18354475
32,-548.1905,85.54312,-1.3564453,-2.3342133,-0.042388916,-0.072944164
31,-560.73364,81.24864,-12.543152,-4.2944794,-0.40461782,-0.1385316
42,-563.2477,81.29343,-2.514038,0.044784546,-0.05985805,0.0010662987
57,-571.37054,88.59964,-8.122864,7.3062134,-0.14250638,0.12817918
38,-578.5337,80.23274,-7.163147,-8.366898,-0.18850386,-0.22018151
32,-578.89185,73.28319,-0.3581543,-6.9495544,-0.011192322,-0.21717358
30,-580.4292,65.294235,-1.5373535,-7.9889526,-0.051245116,-0.2662984
38,-580.8587,58.927948,-0.4295044,-6.366287,-0.011302747,-0.16753387
32,-580.9285,74.381775,-0.06982422,15.453827,-0.0021820068,0.4829321
31,-583.85284,59.063354,-2.9243164,-15.31842,-0.094332784,-0.4941426
37,-582.12537,54.02495,1.727478,-5.0384064,0.046688594,-0.13617314
32,-575.5577,54.625137,6.567688,0.6001892,0.20524025,0.018755913
30,-570.0051,55.335632,5.5525513,0.710495,0.18508504,0.023683166
38,-565.6152,52.394165,4.3899536,-2.9414673,0.1155251,-0.07740703
32,-560.6393,61.158295,4.975891,8.76413,0.1554966,0.27387905
30,-553.7925,35.426575,6.8468018,-25.73172,0.22822672,-0.857724
38,-560.5047,35.883682,-6.712219,0.45710754,-0.17663735,0.012029146
32,-562.2598,41.97621,-1.755127,6.0925293,-0.054847717,0.19039154
30,-564.8191,42.122955,-2.5592651,0.14674377,-0.085308835,0.0048914594
38,-565.8494,46.143448,-1.0303345,4.0204926,-0.027114065,0.10580244
30,-567.84094,45.788864,-1.9915161,-0.35458374,-0.06638387,-0.011819458
32,-580.53375,27.541458,-12.69281,-18.247406,-0.3966503,-0.57023144
38,-586.6003,11.758209,-6.0665283,-15.783249,-0.15964548,-0.41534865
32,-604.82385,-7.866394,-18.223572,-19.624603,-0.5694866,-0.61326885
30,-632.9308,-23.901344,-28.106934,-16.03495,-0.9368978,-0.53449833
38,-637.2129,-78.64502,-4.2821045,-54.743675,-0.11268696,-1.440623
30,-632.77167,-67.69942,4.441223,10.945602,0.14804077,0.3648534
32,-626.3704,-46.513474,6.401245,21.185944,0.20003891,0.66206074
38,-622.3619,4.2822113,4.008545,50.795685,0.105488025,1.3367286
30,-629.8383,10.7912445,-7.4764404,6.509033,-0.24921468,0.21696778
32,-651.61414,55.532684,-21.775818,44.74144,-0.6804943,1.39817
43,-656.67096,87.39244,-5.0568237,31.859756,-0.11760055,0.7409246
64,-758.69666,-5.9136963,-102.025696,-93.30614,-1.5941515,-1.4579084
61,-770.44525,-11.089798,-11.748596,-5.1761017,-0.19259994,-0.084854126
39,-780.404,-4.8201294,-9.95874,6.2696686,-0.25535232,0.16076073
61,-796.41174,21.262054,-16.007751,26.082184,-0.26242214,0.42757678
39,-810.4809,45.82805,-14.069153,24.565994,-0.36074752,0.6298973
30,-817.6853,44.565125,-7.2044067,-1.2629242,-0.24014689,-0.04209747
31,-817.8249,46.7847,-0.1395874,2.219574,-0.0045028194,0.07159916
39,-817.3425,43.522522,0.48236084,-3.2621765,0.012368226,-0.08364555
61,-814.1887,48.827713,3.1538086,5.305191,0.05170178,0.086970344
39,-811.6847,43.33928,2.5040283,-5.488434,0.064205855,-0.14072907
31,-813.4391,37.80133,-1.7543945,-5.5379486,-0.056593373,-0.17864351
69,-811.5087,51.94951,1.9303589,14.148178,0.027976215,0.20504606
30,-815.20874,58.147095,-3.7000122,6.197586,-0.12333374,0.2065862
30,-809.39825,70.254196,5.810486,12.107101,0.19368286,0.40357006
