delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-392.71017,-596.5874,-392.71017,-596.5874,-Infinity,-Infinity
41,-386.71658,-567.6592,5.9935913,28.928223,0.14618516,0.7055664
31,-381.39365,-574.9081,5.322937,-7.2489014,0.17170765,-0.23383553
33,-380.70016,-582.1831,0.69348145,-7.2750244,0.02101459,-0.22045529
36,-379.9591,-578.6583,0.74105835,3.5247803,0.020584954,0.09791056
33,-377.9504,-574.985,2.0086975,3.6733398,0.060869623,0.11131333
31,-381.03717,-576.0722,-3.0867615,-1.0872192,-0.09957295,-0.03507159
35,-383.90265,-576.7865,-2.8654785,-0.71429443,-0.08187082,-0.020408412
34,-391.3026,-582.0497,-7.3999634,-5.2631836,-0.21764599,-0.15479952
31,-391.22006,-586.143,0.08255005,-4.0933228,0.0026629048,-0.13204268
35,-395.84113,-583.07166,-4.621063,3.07135,-0.13203038,0.08775286
33,-396.0591,-582.7604,-0.21798706,0.3112793,-0.0066056685,0.009432706
31,-400.62405,-584.57074,-4.5649414,-1.8103638,-0.14725618,-0.05839883
35,-405.1338,-591.03357,-4.509735,-6.4628296,-0.12884958,-0.18465227
33,-411.94086,-594.8535,-6.807068,-3.8199463,-0.20627478,-0.115755945
32,-418.69818,-601.4011,-6.757324,-6.5476074,-0.21116638,-0.20461273
38,-425.79654,-606.07446,-7.098358,-4.67334,-0.1867989,-0.12298263
32,-432.5884,-608.8639,-6.79187,-2.7894287,-0.21224594,-0.08716965
31,-427.567,-606.48315,5.0214233,2.3807373,0.1619814,0.07679798
43,-431.37244,-609.7276,-3.8054504,-3.2444458,-0.088498846,-0.07545223
57,-439.39203,-610.08325,-8.019592,-0.35565186,-0.1406946,-0.0062395064
37,-439.85483,-604.2489,-0.46279907,5.8343506,-0.012508083,0.15768515
32,-442.56216,-601.8644,-2.7073364,2.3845215,-0.08460426,0.0745163
31,-448.72705,-601.3046,-6.1648865,0.5597534,-0.1988673,0.018056562
37,-451.85214,-600.57275,-3.1250916,0.73187256,-0.084461935,0.01978034
32,-455.3125,-602.60205,-3.4603577,-2.0292969,-0.10813618,-0.06341553
31,-449.7426,-609.5371,5.5698853,-6.9350586,0.17967372,-0.22371157
37,-446.41983,-614.45264,3.3227844,-4.9155273,0.089804985,-0.13285209
