delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-565.7989,-37.280334,-565.7989,-37.280334,-Infinity,-Infinity
41,-566.6136,-41.476974,-0.81469727,-4.19664,-0.019870665,-0.102357075
32,-570.6973,-53.624878,-4.08374,-12.147903,-0.12761688,-0.37962198
33,-574.96893,-49.452713,-4.2716064,4.172165,-0.12944262,0.12642924
36,-579.7109,-49.038315,-4.7419434,0.4143982,-0.13172065,0.011511061
33,-583.3321,-47.84938,-3.6212158,1.1889343,-0.10973381,0.036028314
30,-627.6697,-144.87802,-44.337585,-97.02864,-1.4779195,-3.234288
36,-612.83527,-149.11565,14.834412,-4.237625,0.412067,-0.11771181
34,-585.4295,-86.19447,27.405762,62.921173,0.8060518,1.8506228
31,-582.9158,-85.86415,2.513733,0.33032227,0.081088156,0.010655557
34,-618.30237,-147.24202,-35.386597,-61.37787,-1.0407822,-1.8052315
34,-617.82776,-130.47076,0.47460938,16.771255,0.0139591,0.49327222
31,-583.81476,-95.15355,34.013,35.317215,1.0971936,1.139265
35,-645.7618,-167.87645,-61.94702,-72.7229,-1.7699149,-2.0777972
33,-585.42114,-98.31291,60.340637,69.56354,1.8285042,2.107986
32,-601.4286,-84.82597,-16.007446,13.486938,-0.5002327,0.42146683
38,-631.1911,-141.84277,-29.762512,-57.0168,-0.783224,-1.5004421
32,-676.0041,-173.96048,-44.81299,-32.117706,-1.4004059,-1.0036783
31,-630.09503,-138.31319,45.909058,35.647293,1.4809374,1.1499127
42,-663.7811,-171.03052,-33.686096,-32.71733,-0.80204993,-0.77898407
57,-641.735,-147.5744,22.046143,23.456116,0.38677442,0.4115108
38,-630.95795,-128.5663,10.777039,19.008102,0.2836063,0.5002132
32,-655.24274,-148.31422,-24.28479,-19.747925,-0.7588997,-0.61712265
30,-669.0368,-186.845,-13.794067,-38.530777,-0.45980224,-1.2843592
38,-665.6315,-161.99286,3.4053345,24.852142,0.08961406,0.65400374
32,-678.2976,-152.75153,-12.666138,9.241333,-0.3958168,0.28879166
31,-646.9789,-142.69304,31.318726,10.058487,1.0102814,0.32446733
37,-653.61096,-193.70146,-6.63208,-51.008423,-0.17924541,-1.3786061
32,-649.0537,-183.48305,4.557251,10.218414,0.1424141,0.31932545
30,-685.5818,-227.31458,-36.528076,-43.831528,-1.2176025,-1.4610509
38,-665.72797,-190.65376,19.85382,36.660812,0.522469,0.9647582
32,-652.85724,-160.81523,12.870728,29.838531,0.40221024,0.9324541
30,-680.6221,-200.01007,-27.764832,-39.19484,-0.9254944,-1.3064946
38,-673.59766,-198.11562,7.024414,1.894455,0.184853,0.049854077
32,-665.1221,-196.11945,8.475586,1.99617,0.26486206,0.062380314
30,-681.8992,-192.16672,-16.7771,3.9527283,-0.55923665,0.1317576
38,-686.64386,-185.46133,-4.74469,6.7053833,-0.124860264,0.17645745
30,-689.3436,-187.47177,-2.699768,-2.010437,-0.08999227,-0.06701457
32,-741.95087,-182.14471,-52.60724,5.327057,-1.6439762,0.16647053
38,-716.5419,-193.22545,25.408997,-11.080734,0.6686578,-0.29159826
32,-724.914,-183.61049,-8.372131,9.61496,-0.2616291,0.3004675
30,-739.9004,-179.1315,-14.986389,4.4789886,-0.49954632,0.14929962
38,-771.97656,-258.7072,-32.07617,-79.575714,-0.8441098,-2.0940979
