delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-392.71017,-19.979454,-392.71017,-19.979454,-Infinity,-Infinity
41,-394.3435,-23.84233,-1.6333313,-3.862877,-0.03983735,-0.09421651
31,-395.71237,-29.314636,-1.368866,-5.4723053,-0.044156965,-0.17652598
33,-401.8498,-29.235428,-6.1374207,0.079208374,-0.18598245,0.0024002537
36,-411.97897,-29.052841,-10.129181,0.18258667,-0.28136614,0.005071852
33,-425.07303,-33.37989,-13.094055,-4.3270493,-0.39678955,-0.13112271
31,-432.47302,-38.35977,-7.399994,-4.9798813,-0.23870948,-0.16064133
35,-424.51428,-55.00135,7.95874,-16.641579,0.22739258,-0.47547367
34,-429.8111,-50.347893,-5.296814,4.6534576,-0.15578865,0.1368664
31,-430.7835,-51.60067,-0.9724121,-1.2527771,-0.031368133,-0.040412165
35,-430.10855,-51.621246,0.6749573,-0.020576477,0.019284494,-5.8789935E-4
33,-430.178,-48.933846,-0.06945801,2.6874008,-0.002104788,0.08143639
31,-425.54333,-47.259903,4.634674,1.6739426,0.14950562,0.053998146
35,-426.67114,-48.13617,-1.1278076,-0.8762665,-0.032223076,-0.025036186
33,-428.6809,-50.10388,-2.0097656,-1.9677124,-0.06090199,-0.05962765
32,-431.81125,-51.289726,-3.1303406,-1.1858444,-0.09782314,-0.03705764
38,-435.18442,-54.77044,-3.373169,-3.480713,-0.0887676,-0.091597706
32,-442.33597,-56.779053,-7.1515503,-2.0086136,-0.22348595,-0.062769175
31,-448.06766,-59.2722,-5.7316895,-2.4931488,-0.1848932,-0.08042415
43,-451.7564,-59.085007,-3.6887512,0.18719482,-0.08578491,0.004353368
57,-469.6336,-43.277855,-17.877197,15.807152,-0.31363505,0.27731845
37,-475.91696,-45.037857,-6.2833557,-1.7600021,-0.16982043,-0.047567625
32,-469.33527,-52.53064,6.5816956,-7.4927826,0.20567799,-0.23414946
31,-472.5006,-52.37301,-3.1653442,0.15763092,-0.102107875,0.0050848685
37,-474.47372,-56.86486,-1.973114,-4.491852,-0.053327404,-0.1214014
32,-481.62894,-54.059868,-7.1552124,2.8049927,-0.22360039,0.08765602
31,-478.07428,-61.65706,3.554657,-7.597191,0.11466636,-0.24507067
37,-475.47803,-67.43145,2.5962524,-5.774391,0.07016899,-0.15606463
32,-463.04236,-72.68202,12.435669,-5.250572,0.38861465,-0.16408038
31,-456.87488,-72.06138,6.1674805,0.6206436,0.19895098,0.020020762
37,-454.37003,-73.90535,2.5048523,-1.8439713,0.06769871,-0.04983706
32,-458.00443,-88.78334,-3.6343994,-14.877991,-0.11357498,-0.4649372
30,-465.19345,-106.962524,-7.189026,-18.179184,-0.2396342,-0.6059728
38,-464.91327,-100.61752,0.28018188,6.345001,0.0073732077,0.16697371
32,-461.8876,-85.60658,3.0256653,15.010941,0.09455204,0.4690919
30,-461.75894,-87.28084,0.12866211,-1.6742554,0.004288737,-0.05580851
38,-479.5617,-92.43919,-17.802765,-5.1583557,-0.46849382,-0.1357462
30,-486.32153,-96.11932,-6.7598267,-3.68013,-0.22532755,-0.122671
32,-481.32892,-106.808365,4.9926147,-10.689041,0.15601921,-0.33403254
38,-486.5119,-117.06779,-5.1829834,-10.259422,-0.1363943,-0.2699848
32,-509.67255,-136.25227,-23.160645,-19.184486,-0.72377014,-0.5995152
30,-519.24725,-157.33641,-9.574707,-21.084137,-0.31915691,-0.70280457
38,-474.46936,-130.69315,44.777893,26.643265,1.1783656,0.70113856
31,-447.46967,-127.05379,26.999695,3.6393585,0.8709579,0.117398664
31,-437.46033,-120.81199,10.009338,6.2417984,0.32288188,0.20134833
38,-560.73944,-79.049225,-123.27911,41.762764,-3.244187,1.0990201
30,-589.05396,-83.499565,-28.314514,-4.4503403,-0.94381714,-0.14834468
32,-602.4177,-78.7363,-13.36377,4.7632675,-0.4176178,0.14885211
43,-641.81586,-61.767494,-39.398132,16.968803,-0.9162356,0.39462334
