delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-392.71017,-313.93643,-392.71017,-313.93643,-Infinity,-Infinity
41,-398.39145,-288.53564,-5.6812744,25.400787,-0.13856767,0.6195314
31,-391.66708,-315.78424,6.724365,-27.248596,0.21691501,-0.87898695
33,-396.75598,-319.3833,-5.0888977,-3.59906,-0.15420902,-0.109062426
36,-396.30447,-313.67303,0.45150757,5.710266,0.012541877,0.15861851
33,-401.16104,-309.68005,-4.8565674,3.992981,-0.14716871,0.120999426
31,-408.6652,-313.21643,-7.5041504,-3.536377,-0.24206936,-0.114076674
35,-412.33914,-311.58655,-3.6739502,1.6298828,-0.10497001,0.04656808
34,-414.71484,-311.70715,-2.375702,-0.12060547,-0.06987359,-0.0035472196
31,-416.40717,-316.0315,-1.6923218,-4.324341,-0.054591026,-0.13949487
35,-419.4655,-317.188,-3.0583496,-1.1564941,-0.087381415,-0.033042688
33,-421.2125,-316.49146,-1.7469788,0.6965332,-0.052938752,0.021107066
31,-422.74316,-317.5642,-1.5306702,-1.0727539,-0.049376458,-0.034604963
35,-426.81525,-322.07736,-4.0720825,-4.513153,-0.11634521,-0.12894723
33,-428.2157,-324.29962,-1.4004517,-2.2222595,-0.04243793,-0.0673412
32,-430.91962,-324.87195,-2.7039185,-0.57232666,-0.08449745,-0.017885208
38,-432.7067,-327.3601,-1.7870789,-2.4881592,-0.047028393,-0.06547787
32,-435.79083,-328.88254,-3.084137,-1.5224304,-0.09637928,-0.04757595
31,-436.43787,-329.13147,-0.6470337,-0.24893188,-0.020872055,-0.008030061
43,-439.24408,-331.5594,-2.8062134,-2.4279175,-0.065260775,-0.056463197
57,-448.41852,-329.2833,-9.174438,2.2760925,-0.16095506,0.039931446
37,-452.6316,-322.86694,-4.2130737,6.4163513,-0.11386686,0.1734149
32,-457.31842,-320.15726,-4.6868286,2.7096863,-0.1464634,0.084677696
31,-462.00964,-318.0481,-4.691223,2.1091614,-0.15132979,0.068037465
37,-466.43146,-318.48624,-4.421814,-0.43814087,-0.11950848,-0.011841645
32,-471.83725,-321.32358,-5.405792,-2.8373413,-0.168931,-0.088666916
31,-472.16965,-330.4673,-0.33239746,-9.143707,-0.010722498,-0.2949583
37,-494.23566,-367.55215,-22.06601,-37.08487,-0.5963786,-1.0022938
32,-492.28632,-363.14728,1.9493408,4.4048767,0.0609169,0.1376524
31,-488.17908,-358.74615,4.107239,4.401123,0.13249157,0.1419717
37,-485.2634,-355.19275,2.91568,3.5534058,0.07880216,0.09603799
32,-483.51425,-351.2744,1.7491455,3.918335,0.054660797,0.12244797
31,-482.37347,-375.2394,1.1407776,-23.964996,0.036799278,-0.7730644
37,-460.64673,-381.46243,21.726746,-6.2230225,0.58720934,-0.1681898
32,-463.3583,-387.46967,-2.7115784,-6.0072327,-0.084736824,-0.18772602
30,-447.88013,-392.4215,15.47818,-4.9518433,0.51593935,-0.16506144
38,-481.77377,-390.28827,-33.893646,2.1332397,-0.89193803,0.05613789
30,-490.40506,-389.72577,-8.631287,0.5625,-0.28770956,0.01875
33,-476.648,-405.26746,13.75705,-15.541687,0.41688028,-0.4709602
37,-465.98367,-432.36865,10.664337,-27.101196,0.28822532,-0.7324648
32,-475.95178,-454.773,-9.968109,-22.404358,-0.3115034,-0.7001362
30,-485.40714,-468.91913,-9.455353,-14.146118,-0.31517842,-0.47153726
38,-507.57068,-475.9864,-22.163544,-7.0672607,-0.5832512,-0.18598054
31,-488.39114,-459.18097,19.179535,16.80542,0.61869466,0.5421103
31,-520.7127,-448.78815,-32.321564,10.392822,-1.042631,0.33525234
38,-551.0312,-425.27063,-30.318481,23.517517,-0.7978548,0.618882
30,-559.2169,-422.3269,-8.18573,2.9437256,-0.27285767,0.09812418
32,-602.405,-417.94974,-43.18811,4.3771667,-1.3496284,0.13678646
43,-617.652,-408.98636,-15.246948,8.963379,-0.3545802,0.20845068
64,-692.5208,-438.13275,-74.868835,-29.146393,-1.1698256,-0.4554124
61,-652.7023,-432.96204,39.818542,5.1707153,0.652763,0.08476582
39,-684.27277,-448.27417,-31.570496,-15.312134,-0.80949986,-0.3926188
61,-696.6803,-425.04623,-12.407532,23.227936,-0.20340216,0.38078582
39,-699.8724,-417.6101,-3.1920776,7.4361267,-0.081848145,0.19066991
30,-699.4658,-418.91193,0.40655518,-1.3018188,0.01355184,-0.043393962
31,-699.3767,-420.8463,0.08911133,-1.9343872,0.002874559,-0.06239959
39,-699.9676,-425.4859,-0.59088135,-4.6395874,-0.015150804,-0.11896378
61,-706.10583,-437.13757,-6.1382446,-11.651672,-0.10062696,-0.19101103
39,-702.97314,-433.74945,3.1326904,3.3881226,0.080325395,0.08687494
31,-689.3735,-424.21057,13.59967,9.538879,0.43869904,0.3077058
69,-655.40967,-441.01584,33.963806,-16.805267,0.49222907,-0.24355459
30,-655.13873,-445.239,0.27093506,-4.223175,0.009031168,-0.1407725
31,-656.24023,-442.28754,-1.1015015,2.951477,-0.035532307,0.095208935
39,-672.41925,-412.2412,-16.179016,30.046326,-0.41484657,0.7704186
61,-642.9226,-461.80743,29.496643,-49.566223,0.48355153,-0.81256104
39,-620.33704,-482.91333,22.585571,-21.105896,0.57911724,-0.5411768
31,-644.2069,-454.42798,-23.869873,28.485352,-0.7699959,0.9188823
30,-633.27655,-459.3382,10.930359,-4.9102173,0.36434528,-0.16367391
39,-632.92706,-467.55258,0.3494873,-8.214386,0.008961213,-0.21062528
31,-644.77026,-483.59235,-11.843201,-16.039764,-0.38203874,-0.51741177
30,-623.9649,-524.5922,20.805359,-40.999878,0.69351196,-1.3666626
39,-654.1746,-512.40967,-30.209717,12.182556,-0.77460814,0.31237322
62,-664.1783,-509.24207,-10.003662,3.1676025,-0.16134939,0.051090363
38,-695.8159,-523.0919,-31.637634,-13.8498535,-0.8325693,-0.36446983
61,-674.6557,-518.9494,21.160217,4.142517,0.3468888,0.06791012
39,-659.94904,-523.80206,14.706665,-4.852661,0.37709397,-0.12442721
31,-652.04443,-543.1145,7.904602,-19.312439,0.25498715,-0.6229819
30,-643.7299,-536.6209,8.314514,6.4935913,0.27715048,0.21645305
40,-647.0612,-531.8225,-3.3312988,4.798401,-0.08328247,0.119960025
30,-665.0254,-546.81464,-17.964172,-14.992126,-0.5988057,-0.49973756
37,-662.47485,-537.8364,2.550537,8.97821,0.068933435,0.24265434
32,-636.6184,-518.0565,25.856445,19.779907,0.8080139,0.6181221
32,-567.8964,-493.53403,68.721985,24.522491,2.147562,0.76632786
