delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-418.17844,272.0901,-418.17844,272.0901,-Infinity,Infinity
41,-423.29446,275.64975,-5.116028,3.5596619,-0.12478117,0.08682102
32,-443.37143,272.13278,-20.076965,-3.5169678,-0.62740517,-0.10990524
33,-457.80206,277.638,-14.430634,5.5052185,-0.43729192,0.1668248
36,-472.4879,272.97565,-14.685852,-4.6623535,-0.40794033,-0.12950982
33,-482.59824,267.8177,-10.110321,-5.157959,-0.30637336,-0.15630178
30,-487.9997,266.02158,-5.4014587,-1.7961121,-0.18004863,-0.059870403
36,-488.17172,265.543,-0.17202759,-0.47857666,-0.004778544,-0.013293796
34,-487.5889,266.50665,0.5828247,0.96365356,0.017141903,0.028342752
31,-487.35535,262.70737,0.23355103,-3.799286,0.007533904,-0.12255761
34,-484.60474,251.36792,2.7506104,-11.339447,0.080900304,-0.33351314
34,-482.0419,257.6183,2.5628357,6.250366,0.075377524,0.1838343
31,-479.46603,254.22502,2.5758667,-3.3932648,0.08309247,-0.10946015
35,-480.23178,254.69128,-0.7657471,0.46626282,-0.021878488,0.013321795
33,-482.46268,252.55734,-2.230896,-2.1339417,-0.06760291,-0.0646649
32,-484.09625,250.71616,-1.6335754,-1.8411865,-0.051049232,-0.05753708
38,-486.08542,244.8769,-1.9891663,-5.8392487,-0.05234648,-0.15366444
32,-490.75702,243.8172,-4.6716003,-1.0597076,-0.14598751,-0.033115864
31,-493.37845,241.9337,-2.6214294,-1.8834991,-0.08456224,-0.060758036
42,-496.72366,242.46014,-3.3452148,0.5264435,-0.07964797,0.012534369
57,-513.5321,248.9347,-16.808441,6.4745483,-0.29488492,0.113588564
38,-519.71497,252.97021,-6.1828613,4.0355225,-0.16270688,0.10619796
32,-525.9231,247.03287,-6.20813,-5.9373474,-0.19400406,-0.1855421
30,-511.6718,242.31729,14.251282,-4.715576,0.47504273,-0.15718587
38,-516.2935,233.28523,-4.621704,-9.032059,-0.12162379,-0.23768575
32,-521.4254,239.26027,-5.131897,5.9750366,-0.16037178,0.1867199
31,-522.5846,235.19418,-1.1591797,-4.066086,-0.037392892,-0.13116406
37,-516.88477,224.3265,5.699829,-10.867676,0.15404944,-0.29372096
32,-512.1114,221.8266,4.7733765,-2.4999084,0.14916801,-0.07812214
30,-509.8747,219.79013,2.2366943,-2.0364685,0.07455648,-0.067882285
38,-511.18936,213.87396,-1.3146667,-5.916168,-0.03459649,-0.15568864
32,-502.98807,196.10619,8.201294,-17.767776,0.25629044,-0.555243
30,-500.10233,179.49649,2.8857422,-16.609695,0.096191406,-0.5536565
38,-498.82178,189.63766,1.2805481,10.141174,0.033698633,0.266873
32,-499.8656,195.52754,-1.0438232,5.8898773,-0.032619476,0.18405867
30,-502.9258,196.34332,-3.0602112,0.81578064,-0.10200704,0.027192688
38,-501.54327,199.5728,1.3825378,3.229477,0.036382575,0.08498623
30,-503.58655,198.60199,-2.043274,-0.97080994,-0.06810913,-0.03236033
32,-525.94995,169.29361,-22.363403,-29.30838,-0.69885635,-0.9158869
38,-537.70734,161.6925,-11.757385,-7.6011047,-0.30940488,-0.20002908
32,-553.31384,138.93353,-15.606506,-22.758972,-0.48770332,-0.7112179
30,-567.8321,126.34519,-14.5182495,-12.588341,-0.48394164,-0.41961136
38,-576.7552,159.53418,-8.923096,33.188988,-0.23481831,0.8733944
30,-568.57043,158.76955,8.184753,-0.7646332,0.27282512,-0.025487773
32,-550.75226,164.20955,17.818176,5.4400024,0.556818,0.17000008
38,-552.26794,207.79536,-1.515686,43.585815,-0.039886475,1.1469952
30,-562.5376,211.76453,-10.269653,3.969162,-0.34232178,0.1323054
32,-566.7402,218.21936,-4.2025757,6.454834,-0.13133049,0.20171356
43,-556.31976,241.3645,10.42041,23.145142,0.24233513,0.5382591
64,-580.78595,211.48262,-24.466187,-29.881882,-0.38228416,-0.4669044
61,-680.33,182.1566,-99.54407,-29.32602,-1.6318699,-0.4807544
39,-719.36224,170.95096,-39.032227,-11.205643,-1.0008264,-0.28732416
61,-757.7249,203.72264,-38.36267,32.771683,-0.62889624,0.5372407
39,-761.34454,226.0459,-3.619629,22.323257,-0.092810996,0.5723912
30,-769.678,238.30945,-8.333435,12.26355,-0.27778116,0.408785
31,-771.9254,238.81601,-2.2474365,0.5065613,-0.07249795,0.016340686
39,-774.28326,236.23056,-2.3578491,-2.5854492,-0.06045767,-0.06629357
61,-773.3151,214.46948,0.96813965,-21.761078,0.015871141,-0.35673898
39,-760.02734,207.87086,13.287781,-6.5986176,0.34071234,-0.16919532
31,-734.37744,220.28479,25.649902,12.413925,0.8274162,0.4004492
69,-757.0766,292.3663,-22.699158,72.08151,-0.3289733,1.0446596
30,-734.07574,295.15576,23.000854,2.7894592,0.76669514,0.09298197
30,-722.69635,272.4231,11.379395,-22.732666,0.37931314,-0.7577555
40,-706.07135,274.8944,16.625,2.4713135,0.415625,0.061782837
61,-711.526,247.66856,-5.454651,-27.225845,-0.089420505,-0.44632533
39,-708.0042,243.06973,3.5217896,-4.598831,0.090302296,-0.117918745
30,-702.7764,256.3275,5.227783,13.257782,0.17425944,0.44192606
31,-705.5116,258.45154,-2.7351685,2.1240234,-0.08823124,0.06851689
39,-702.93555,226.60556,2.5760498,-31.845978,0.066052556,-0.81656355
30,-711.4515,190.51524,-8.51593,-36.090317,-0.28386435,-1.2030106
31,-702.48773,165.83234,8.963745,-24.682907,0.28915307,-0.7962228
39,-705.18463,162.61389,-2.6968994,-3.2184448,-0.06915127,-0.082524225
62,-659.3024,268.61417,45.882202,106.000275,0.74003553,1.7096819
38,-672.15137,257.63068,-12.848938,-10.98349,-0.33812994,-0.28903922
61,-580.45526,265.49185,91.696106,7.8611755,1.5032148,0.12887172
39,-603.20496,241.6196,-22.749695,-23.872253,-0.5833255,-0.61210907
31,-603.72534,125.97422,-0.52038574,-115.64538,-0.016786637,-3.7304962
30,-619.123,134.07973,-15.397644,8.105507,-0.5132548,0.27018356
40,-621.36163,141.65985,-2.2386475,7.580124,-0.055966187,0.1895031
30,-623.0353,139.9819,-1.673645,-1.677948,-0.055788167,-0.0559316
37,-621.288,155.94576,1.7472534,15.963852,0.047223065,0.43145546
32,-630.32837,154.92392,-9.040344,-1.0218353,-0.28251076,-0.031932354
31,-644.0522,175.03767,-13.723816,20.113754,-0.44270375,0.6488308
37,-641.90784,176.5256,2.1443481,1.4879303,0.057955354,0.040214334
32,-636.84753,182.12144,5.0603027,5.5958405,0.15813446,0.17487001
68,-650.1638,185.80725,-13.316284,3.6858063,-0.19582771,0.054203033
32,-639.0506,145.88837,11.11322,-39.918884,0.34728813,-1.2474651
69,-634.01514,130.09232,5.0354614,-15.796051,0.0729777,-0.22892828
31,-638.67444,132.58531,-4.6593018,2.4929962,-0.15030006,0.080419235
67,-620.7846,162.70425,17.889832,30.118942,0.26701242,0.44953644
33,-626.4448,165.90105,-5.6602173,3.1967926,-0.17152174,0.0968725
68,-622.4664,192.70023,3.9784546,26.79918,0.058506686,0.39410558
32,-630.0651,117.01023,-7.598755,-75.689995,-0.23746109,-2.3653123
68,-627.2967,140.63194,2.7684326,23.621712,0.040712245,0.3473781
32,-702.63544,211.05566,-75.338745,70.42372,-2.3543358,2.2007413
30,-726.80054,209.27832,-24.1651,-1.7773438,-0.8055033,-0.059244793
38,-737.2048,215.86429,-10.404236,6.585968,-0.2737957,0.17331494
31,-726.72076,231.4198,10.484009,15.555511,0.33819383,0.5017907
31,-691.0229,251.32642,35.697876,19.906616,1.1515443,0.6421489
37,-685.70966,256.79483,5.3132324,5.4684143,0.14360088,0.14779498
33,-679.36194,260.57227,6.3477173,3.7774353,0.19235507,0.11446774
30,-681.9459,257.154,-2.5839844,-3.418274,-0.08613281,-0.11394247
37,-766.1526,213.73645,-84.206665,-43.41754,-2.2758558,-1.173447
32,-771.36316,213.4886,-5.2105713,-0.24784851,-0.16283035,-0.007745266
30,-767.32983,247.47556,4.033325,33.986954,0.13444418,1.1328984
38,-799.4084,242.25443,-32.078552,-5.2211304,-0.8441724,-0.13739817
33,-817.79645,243.86603,-18.388062,1.6116028,-0.55721396,0.048836447
30,-826.35187,236.5144,-8.55542,-7.3516235,-0.28518066,-0.24505411
38,-851.43286,193.4918,-25.080994,-43.0226,-0.66002613,-1.1321737
32,-858.84827,194.88866,-7.4154053,1.3968506,-0.23173141,0.04365158
30,-888.95856,186.1034,-30.11029,-8.785263,-1.0036763,-0.2928421
38,-901.7749,191.7178,-12.816345,5.6144104,-0.33727226,0.14774764
32,-911.5316,194.4724,-9.756714,2.754593,-0.3048973,0.08608103
32,-930.81024,193.26877,-19.278625,-1.2036285,-0.60245705,-0.037613392
37,-939.61145,191.56871,-8.8012085,-1.700058,-0.2378705,-0.045947514
31,-946.5457,188.97046,-6.934265,-2.5982513,-0.22368596,-0.08381456
37,-949.4216,199.34245,-2.8758545,10.371994,-0.0777258,0.28032416
63,-917.12103,195.54514,32.300537,-3.7973175,0.51270694,-0.06027488
33,-920.2479,176.15027,-3.126892,-19.394867,-0.09475431,-0.58772326
34,-889.6082,190.96362,30.63971,14.8133545,0.9011679,0.4356869
33,-885.04156,188.9245,4.5666504,-2.0391235,0.13838334,-0.06179162
33,-877.97205,175.91095,7.069519,-13.01355,0.21422786,-0.39435
34,-876.49347,171.3336,1.4785767,-4.577347,0.04348755,-0.13462785
33,-879.9933,168.43007,-3.499817,-2.903534,-0.10605506,-0.08798587
37,-880.6682,159.83627,-0.67492676,-8.593796,-0.018241264,-0.23226476
63,-909.8567,161.71814,-29.188477,1.8818665,-0.46330914,0.029870896
32,-905.02814,162.18144,4.8285522,0.4633026,0.15089226,0.014478207
35,-903.88513,164.81578,1.1430054,2.6343384,0.032657295,0.07526681
33,-955.41565,202.80795,-51.530518,37.992172,-1.5615308,1.1512779
38,-939.5937,178.94925,15.82196,-23.858704,0.41636738,-0.6278606
30,-950.411,131.7025,-10.817322,-47.24675,-0.3605774,-1.5748917
32,-945.94934,79.998116,4.46167,-51.704384,0.13942719,-1.615762
33,-932.8716,95.00984,13.077759,15.011726,0.39629573,0.4549008
35,-948.2528,90.07977,-15.381226,-4.930069,-0.4394636,-0.14085911
32,-949.9698,85.05115,-1.71698,-5.0286255,-0.053655624,-0.15714455
33,-1050.5544,188.59653,-100.584656,103.54538,-3.04802,3.1377387
36,-1028.659,210.13223,21.895386,21.535706,0.60820514,0.59821403
