delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-322.18115,286.28964,-322.18115,286.28964,-Infinity,Infinity
41,-333.95514,290.51642,-11.773987,4.226776,-0.2871704,0.103092104
32,-351.07715,292.41306,-17.12201,1.896637,-0.5350628,0.059269905
32,-368.68384,300.77542,-17.60669,8.362366,-0.55020905,0.26132393
37,-381.20816,298.93872,-12.5243225,-1.8367004,-0.3384952,-0.04964055
33,-388.7633,293.32104,-7.5551453,-5.617676,-0.2289438,-0.1702326
30,-392.44016,291.56256,-3.6768494,-1.7584839,-0.12256165,-0.058616128
36,-392.7758,291.69562,-0.33563232,0.13305664,-0.00932312,0.003696018
34,-392.64557,292.91626,0.1302185,1.2206421,0.003829956,0.035901237
31,-391.62762,288.64798,1.0179443,-4.26828,0.032836914,-0.13768645
34,-390.0472,277.54462,1.5804138,-11.103363,0.04648276,-0.3265695
34,-388.45123,282.46634,1.5959778,4.9217224,0.046940524,0.14475654
31,-383.98874,278.19565,4.462494,-4.270691,0.14395142,-0.13776423
35,-383.0936,276.60007,0.8951416,-1.595581,0.025575474,-0.04558803
33,-384.68735,274.2084,-1.59375,-2.3916626,-0.048295453,-0.07247462
32,-386.46475,272.33002,-1.7774048,-1.8783875,-0.0555439,-0.058699608
38,-391.10333,267.63495,-4.6385803,-4.6950684,-0.122067906,-0.12355443
32,-396.23224,266.7713,-5.1289062,-0.86364746,-0.16027832,-0.026988983
31,-398.4888,264.40744,-2.2565613,-2.363861,-0.0727923,-0.076253586
42,-400.3456,264.78125,-1.8568115,0.3738098,-0.044209797,0.008900234
57,-410.58096,264.0178,-10.235352,-0.76345825,-0.17956758,-0.013394005
38,-416.5779,265.10953,-5.9969482,1.0917358,-0.15781443,0.028729891
32,-426.18048,256.61066,-9.60257,-8.498871,-0.3000803,-0.2655897
30,-412.2659,247.11203,13.914581,-9.498627,0.46381938,-0.3166209
38,-412.0564,238.32059,0.20950317,-8.791443,0.0055132415,-0.23135376
32,-416.39215,240.8529,-4.3357544,2.532318,-0.13549232,0.07913494
31,-417.2383,237.77036,-0.8461609,-3.08255,-0.027295513,-0.099437095
37,-413.65524,229.56174,3.5830688,-8.208618,0.096839696,-0.22185454
32,-407.6871,228.23676,5.9681396,-1.3249817,0.18650436,-0.041405678
30,-400.81885,226.2164,6.8682556,-2.0203552,0.22894186,-0.06734517
38,-400.46997,220.44542,0.34887695,-5.770981,0.009180972,-0.15186791
32,-394.95593,204.28221,5.514038,-16.163208,0.17231369,-0.50510025
30,-392.7268,201.63199,2.229126,-2.6502228,0.0743042,-0.08834076
38,-390.17316,206.73811,2.55365,5.106125,0.06720132,0.13437171
32,-388.66727,210.12216,1.5058899,3.3840485,0.04705906,0.105751514
30,-390.06796,210.97516,-1.4006958,0.8529968,-0.04668986,0.028433228
38,-389.80267,209.37553,0.2652893,-1.5996246,0.0069812974,-0.042095385
30,-390.65768,206.84749,-0.855011,-2.5280457,-0.028500367,-0.08426819
32,-409.43692,186.56313,-18.779236,-20.284363,-0.5868511,-0.63388634
38,-424.61816,183.76158,-15.181244,-2.8015442,-0.39950642,-0.07372484
32,-437.8962,161.0998,-13.278046,-22.661789,-0.41493893,-0.7081809
30,-447.32623,147.57253,-9.430023,-13.527267,-0.3143341,-0.45090893
38,-450.77032,195.8591,-3.4440918,48.286575,-0.090633996,1.2706994
30,-449.01376,192.50288,1.7565613,-3.3562164,0.05855204,-0.11187388
32,-441.48566,190.31218,7.5281067,-2.1907043,0.23525333,-0.06845951
