delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-98.68868,191.3917,-98.68868,191.3917,-Infinity,Infinity
41,-102.33205,173.4632,-3.643364,-17.928497,-0.08886254,-0.43728042
31,-120.12804,175.74043,-17.79599,2.277237,-0.5740642,0.07345925
33,-128.40645,173.14723,-8.278412,-2.5932007,-0.25086096,-0.07858184
36,-131.26823,173.00127,-2.861786,-0.14596558,-0.07949405,-0.0040545994
33,-133.94873,169.46924,-2.6804962,-3.5320282,-0.08122716,-0.10703116
31,-136.58739,170.89795,-2.6386566,1.4287109,-0.08511796,0.04608745
35,-140.20505,173.7261,-3.6176605,2.8281555,-0.103361726,0.080804445
34,-144.5034,178.08063,-4.298355,4.3545227,-0.12642221,0.1280742
31,-146.95354,182.9953,-2.4501343,4.914673,-0.079036586,0.15853783
34,-138.51036,188.96957,8.443176,5.9742737,0.24832872,0.17571393
34,-134.83606,185.70735,3.6743011,-3.2622223,0.108067684,-0.09594771
31,-132.50554,190.93375,2.3305206,5.2263947,0.07517809,0.16859338
35,-133.71051,189.83658,-1.2049713,-1.097168,-0.03442775,-0.031347655
33,-148.21619,187.6618,-14.505676,-2.1747742,-0.43956596,-0.06590225
32,-161.41397,183.88217,-13.197784,-3.7796326,-0.41243076,-0.11811352
38,-168.26068,187.78453,-6.84671,3.902359,-0.18017659,0.102693655
32,-173.5386,184.47664,-5.2779236,-3.3078918,-0.16493511,-0.10337162
31,-180.92276,170.45316,-7.3841553,-14.023483,-0.23819856,-0.45237043
43,-185.25986,165.44595,-4.337097,-5.007202,-0.10086273,-0.11644656
56,-200.50827,162.11287,-15.248413,-3.333084,-0.2722931,-0.059519358
38,-202.29526,155.4349,-1.7869873,-6.6779633,-0.047025982,-0.17573588
32,-208.16238,151.60748,-5.8671265,-3.827423,-0.1833477,-0.11960697
30,-207.48064,151.79976,0.68174744,0.192276,0.022724915,0.0064092
38,-206.81003,153.44754,0.6706085,1.6477814,0.017647592,0.043362666
32,-207.01233,154.85867,-0.20230103,1.4111328,-0.006321907,0.0440979
31,-205.68915,151.95773,1.3231812,-2.90094,0.042683262,-0.09357871
37,-203.31133,144.38348,2.3778229,-7.5742493,0.06426548,-0.20470944
32,-184.10788,128.8468,19.203445,-15.536682,0.60010767,-0.48552132
30,-169.80652,106.04794,14.301361,-22.798859,0.47671205,-0.75996196
38,-156.68102,100.68353,13.125504,-5.3644104,0.345408,-0.1411687
32,-148.748,87.2533,7.933014,-13.430229,0.24790668,-0.41969466
30,-145.73071,113.753174,3.0172882,26.49987,0.100576274,0.88332903
38,-141.83401,128.26422,3.896698,14.511047,0.10254469,0.38186967
32,-144.4039,143.4093,-2.5698853,15.145081,-0.080308914,0.47328377
30,-148.0886,148.7894,-3.6846924,5.3800964,-0.12282308,0.17933655
38,-152.66919,140.00981,-4.580597,-8.779587,-0.12054203,-0.23104176
30,-152.76785,120.958046,-0.09866333,-19.051765,-0.0032887778,-0.6350588
32,-157.50218,102.97348,-4.734329,-17.984566,-0.14794779,-0.5620177
38,-165.49265,107.61706,-7.9904633,4.6435776,-0.21027535,0.12219941
32,-171.89236,93.54632,-6.399719,-14.07074,-0.19999123,-0.43971062
30,-175.59354,82.91971,-3.7011719,-10.62661,-0.1233724,-0.35422033
38,-176.58969,145.97449,-0.9961548,63.05478,-0.0262146,1.6593363
30,-193.7339,132.87463,-17.14421,-13.0998535,-0.5714737,-0.43666178
32,-210.01938,116.25169,-16.285477,-16.62294,-0.50892115,-0.5194669
38,-227.65167,89.71808,-17.632294,-26.533615,-0.46400774,-0.69825304
30,-248.10355,89.75694,-20.451874,0.038864136,-0.68172914,0.0012954712
32,-254.14334,75.64905,-6.039795,-14.107895,-0.18874359,-0.44087172
43,-264.88943,60.28987,-10.746094,-15.359177,-0.24990916,-0.35719016
64,-286.74884,86.64719,-21.859406,26.357315,-0.3415532,0.41183305
61,-338.59265,66.8817,-51.84381,-19.765488,-0.8498985,-0.32402438
39,-367.8524,80.99071,-29.259735,14.109009,-0.7502496,0.36176947
61,-390.61133,83.164894,-22.758942,2.1741867,-0.3730974,0.035642404
39,-393.86206,76.37109,-3.2507324,-6.7938004,-0.08335211,-0.17420001
30,-395.02954,88.06877,-1.1674805,11.697678,-0.038916014,0.3899226
31,-403.42856,80.52139,-8.399017,-7.5473785,-0.27093604,-0.24346383
39,-406.78207,78.05176,-3.3535156,-2.469635,-0.08598758,-0.063323975
61,-410.5969,69.37938,-3.8148193,-8.672379,-0.06253802,-0.14217015
39,-408.55594,58.00032,2.0409546,-11.379059,0.05233217,-0.29177073
31,-403.78223,52.485764,4.773712,-5.514557,0.15399072,-0.17788893
69,-400.57178,97.6622,3.2104492,45.176437,0.04652825,0.654731
30,-393.65027,98.80777,6.921509,1.1455688,0.23071696,0.03818563
31,-398.37738,81.54297,-4.727112,-17.264801,-0.15248747,-0.55692905
39,-397.59308,72.40265,0.78430176,-9.14032,0.020110302,-0.23436718
61,-391.48306,24.071304,6.110016,-48.331345,0.1001642,-0.79231715
39,-383.4811,26.971634,8.001953,2.9003296,0.20517829,0.07436743
30,-366.7314,34.09854,16.749695,7.1269073,0.55832314,0.23756358
31,-359.4469,43.37256,7.2845154,9.274017,0.23498437,0.29916185
39,-344.7202,65.538864,14.726685,22.166306,0.3776073,0.5683668
30,-335.8941,57.82727,8.826111,-7.7115936,0.2942037,-0.2570531
31,-335.21588,55.701904,0.67822266,-2.1253662,0.02187815,-0.0685602
39,-333.17365,53.95822,2.0422363,-1.7436829,0.052365035,-0.044709817
62,-333.713,46.76744,-0.5393677,-7.1907806,-0.008699479,-0.115980335
38,-328.93954,47.169037,4.773468,0.40159607,0.12561758,0.010568318
61,-290.99146,75.97267,37.94809,28.803635,0.6220998,0.47219074
39,-296.66376,56.50653,-5.6723022,-19.46614,-0.14544365,-0.49913183
31,-294.20865,-35.16974,2.4551086,-91.67627,0.07919706,-2.957299
30,-302.69748,-17.534256,-8.488831,17.635483,-0.282961,0.58784944
40,-304.56427,-18.188065,-1.8667908,-0.6538086,-0.04666977,-0.016345214
30,-306.14374,-21.055939,-1.5794678,-2.8678741,-0.052648924,-0.09559581
37,-306.1387,-9.359238,0.0050354004,11.696701,1.360919E-4,0.31612706
32,-302.5242,-6.098633,3.614502,3.2606049,0.112953186,0.1018939
31,-302.6918,-22.5587,-0.16760254,-16.460068,-0.0054065334,-0.5309699
37,-305.59378,0.70932007,-2.9019775,23.26802,-0.07843182,0.6288654
32,-306.53613,-1.9893494,-0.9423523,-2.6986694,-0.02944851,-0.08433342
68,-298.38556,-7.1705933,8.150574,-5.181244,0.11986138,-0.07619476
32,-292.7386,-34.07863,5.6469727,-26.908035,0.1764679,-0.8408761
69,-292.01938,-29.60791,0.71920776,4.4707184,0.010423301,0.06479302
31,-298.92044,-28.704361,-6.901062,0.9035492,-0.2226149,0.029146748
68,-335.34048,-35.41426,-36.420044,-6.7099,-0.53558886,-0.098675
32,-343.08163,-28.798462,-7.74115,6.615799,-0.24191093,0.20674372
68,-395.0769,-4.469055,-51.99527,24.329407,-0.76463634,0.3577854
32,-379.87732,-91.77186,15.199585,-87.3028,0.47498703,-2.7282126
68,-409.3097,-73.74075,-29.432373,18.031105,-0.43282902,0.2651633
32,-404.78268,6.584305,4.527008,80.32506,0.141469,2.510158
30,-416.29263,3.1576843,-11.509949,-3.4266205,-0.38366497,-0.114220686
39,-433.76752,-1.6290741,-17.474884,-4.7867584,-0.44807395,-0.12273739
31,-442.54373,-5.337311,-8.776215,-3.7082367,-0.2831037,-0.11962054
30,-460.85184,8.240524,-18.308105,13.577835,-0.6102702,0.4525945
37,-460.1908,12.626343,0.66104126,4.3858185,0.01786598,0.11853564
33,-460.34656,14.345795,-0.15576172,1.7194519,-0.0047200522,0.052104603
30,-455.59357,13.078842,4.7529907,-1.2669525,0.15843302,-0.04223175
38,-522.90234,-6.1066284,-67.30878,-19.18547,-1.7712836,-0.5048808
32,-532.6617,0.91563416,-9.759338,7.0222626,-0.30497932,0.2194457
68,-616.2586,24.474304,-83.596924,23.55867,-1.2293665,0.34645104
32,-616.12994,11.460724,0.12866211,-13.01358,0.004020691,-0.40667439
30,-618.8338,11.00531,-2.7038574,-0.45541382,-0.09012858,-0.01518046
38,-621.3789,16.306229,-2.545105,5.3009186,-0.06697645,0.13949786
32,-619.05225,21.853424,2.3266602,5.5471954,0.07270813,0.17334986
30,-619.9311,31.867722,-0.8788452,10.0142975,-0.029294841,0.3338099
38,-624.6796,29.903992,-4.748535,-1.9637299,-0.12496145,-0.0516771
