delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-162.34633,-562.5128,-162.34633,-562.5128,-Infinity,-Infinity
41,-196.18805,-518.3263,-33.84172,44.186523,-0.8254078,1.07772
32,-203.25397,-517.6067,-7.065918,0.7196045,-0.22080994,0.02248764
32,-202.91734,-514.4832,0.33662415,3.1234741,0.010519505,0.09760857
36,-198.86562,-522.70746,4.0517273,-8.224243,0.11254798,-0.22845119
33,-204.84802,-528.30444,-5.9824066,-5.596985,-0.18128505,-0.1696056
31,-207.9307,-533.0242,-3.082672,-4.7197266,-0.09944104,-0.15224925
35,-210.42897,-546.4669,-2.4982758,-13.442749,-0.071379304,-0.38407853
34,-212.08661,-548.7887,-1.6576385,-2.3217773,-0.048754074,-0.06828757
31,-204.57303,-551.5198,7.5135803,-2.731079,0.24237356,-0.08809932
35,-200.74535,-551.0537,3.8276825,0.46606445,0.10936236,0.0133161275
33,-198.17482,-551.5724,2.5705261,-0.51867676,0.07789473,-0.015717477
32,-196.34251,-551.2341,1.8323059,0.33831787,0.05725956,0.0105724335
35,-195.27904,-547.6561,1.0634766,3.577942,0.030385045,0.10222691
32,-194.81306,-548.2065,0.4659729,-0.550354,0.014561653,-0.017198563
33,-193.44017,-552.70636,1.3728943,-4.499878,0.041602857,-0.13635993
37,-203.97606,-552.13763,-10.535889,0.5687256,-0.28475374,0.015370962
32,-256.37506,-563.4447,-52.399002,-11.307068,-1.6374688,-0.35334587
31,-285.21927,-560.11255,-28.844208,3.3321533,-0.9304583,0.10748882
43,-288.84454,-560.21265,-3.6252747,-0.100097656,-0.08430871,-0.0023278524
57,-312.0093,-576.84985,-23.164764,-16.637207,-0.40639937,-0.29188082
37,-319.2175,-586.53186,-7.208191,-9.682007,-0.19481596,-0.26167586
32,-319.07028,-591.5547,0.1472168,-5.022827,0.004600525,-0.15696335
31,-316.11395,-601.98596,2.9563293,-10.431274,0.095365465,-0.33649272
37,-320.0,-610.0497,-3.8860474,-8.063721,-0.10502831,-0.2179384
32,-317.93,-619.28894,2.0700073,-9.239258,0.06468773,-0.2887268
31,-321.5612,-622.5923,-3.631195,-3.3033447,-0.11713532,-0.10655951
37,-321.16122,-628.0414,0.39996338,-5.4490967,0.010809821,-0.14727288
32,-315.0286,-642.0677,6.1326294,-14.026306,0.19164467,-0.43832207
31,-302.30597,-643.7974,12.722626,-1.7297363,0.41040727,-0.055797946
37,-291.52264,-647.3418,10.783325,-3.5443726,0.29144123,-0.09579385
32,-282.34924,-653.84705,9.173401,-6.505249,0.28666878,-0.20328903
31,-273.5509,-638.256,8.79834,15.591064,0.2838174,0.50293756
37,-269.23468,-645.2613,4.316223,-7.00531,0.11665468,-0.18933271
32,-269.67914,-641.8361,-0.444458,3.425171,-0.013889313,0.10703659
30,-265.4257,-648.00256,4.2534485,-6.166443,0.14178161,-0.2055481
38,-261.12747,-663.9009,4.298218,-15.898315,0.113111,-0.4183767
31,-257.34067,-671.8977,3.7868042,-7.996826,0.12215497,-0.25796214
32,-259.47028,-664.3241,-2.1296082,7.5736084,-0.066550255,0.23667526
37,-261.8758,-664.103,-2.4055176,0.22106934,-0.06501399,0.005974847
32,-262.06116,-683.46204,-0.18536377,-19.359009,-0.005792618,-0.604969
30,-270.71988,-691.7438,-8.658722,-8.281738,-0.28862408,-0.27605793
38,-261.2831,-659.25555,9.436768,32.48822,0.24833599,0.85495317
31,-274.94785,-668.2262,-13.664734,-8.970642,-0.44079787,-0.28937554
32,-284.1172,-675.68445,-9.169342,-7.458252,-0.28654194,-0.23307037
37,-297.36493,-697.177,-13.247742,-21.492554,-0.35804707,-0.5808798
30,-302.0038,-707.0327,-4.6388855,-9.855713,-0.15462951,-0.32852376
32,-306.62326,-714.08936,-4.619446,-7.0566406,-0.14435768,-0.22052002
43,-336.88962,-713.94574,-30.266357,0.14361572,-0.7038688,0.0033399006
64,-360.84613,-722.77563,-23.956512,-8.829895,-0.3743205,-0.13796711
61,-381.93814,-709.50757,-21.09201,13.268066,-0.34577066,0.21750928
39,-393.5354,-703.6278,-11.5972595,5.8797607,-0.29736564,0.1507631
61,-405.66974,-724.66833,-12.134338,-21.040527,-0.19892357,-0.34492669
39,-422.97327,-722.11316,-17.303528,2.5551758,-0.4436802,0.06551733
30,-444.3284,-707.3358,-21.355133,14.777344,-0.71183777,0.49257812
31,-451.0942,-704.60834,-6.765808,2.727478,-0.21825187,0.08798316
39,-454.1841,-697.15967,-3.0899048,7.4486694,-0.07922833,0.19099152
61,-459.5275,-694.05334,-5.343384,3.1063232,-0.087596454,0.050923333
39,-437.64566,-699.1863,21.881836,-5.1329346,0.5610727,-0.1316137
31,-423.99802,-716.41956,13.647644,-17.233276,0.44024658,-0.55591214
69,-436.00327,-701.13025,-12.005249,15.289307,-0.17398912,0.22158416
30,-451.8874,-697.89246,-15.884125,3.237793,-0.5294708,0.107926436
31,-473.08484,-676.94556,-21.197449,20.9469,-0.68378866,0.67570645
39,-470.84778,-673.10345,2.2370605,3.842102,0.057360526,0.098515436
61,-481.4746,-648.15857,-10.626831,24.944885,-0.17421034,0.40893254
39,-505.5899,-787.84863,-24.115295,-139.69006,-0.6183409,-3.5817964
31,-511.39215,-752.75464,-5.802246,35.093994,-0.18716922,1.1320643
30,-501.7653,-754.7029,9.626862,-1.9482422,0.32089537,-0.064941406
39,-502.5445,-749.85364,-0.7792053,4.849243,-0.019979624,0.124339566
31,-497.33307,-754.2444,5.211426,-4.390747,0.1681105,-0.141637
30,-496.106,-765.74536,1.2270813,-11.500977,0.04090271,-0.3833659
39,-492.47562,-774.90393,3.630371,-9.158569,0.09308644,-0.23483512
63,-475.36127,-781.30804,17.11435,-6.404114,0.27165633,-0.1016526
37,-470.9973,-787.57104,4.3639526,-6.2630005,0.117944665,-0.16927028
61,-464.15207,-817.827,6.8452454,-30.255981,0.112217136,-0.4959997
39,-460.6876,-821.7339,3.4644775,-3.9068604,0.08883276,-0.10017591
31,-457.56906,-809.47296,3.1185303,12.260925,0.100597754,0.3955137
30,-455.12317,-817.6279,2.4458923,-8.154968,0.081529744,-0.2718323
40,-454.2347,-821.70605,0.88845825,-4.078125,0.022211457,-0.10195313
30,-452.3789,-828.68805,1.8558044,-6.9819946,0.061860148,-0.23273316
37,-448.74963,-827.1867,3.6292725,1.5013428,0.09808844,0.04057683
32,-445.66217,-820.74097,3.0874634,6.4457397,0.09648323,0.20142937
32,-446.54526,-803.7932,-0.88308716,16.947754,-0.027596474,0.5296173
37,-455.27866,-812.21844,-8.733398,-8.425232,-0.23603779,-0.22770897
32,-479.79175,-802.9421,-24.513092,9.276367,-0.7660341,0.28988647
68,-546.67114,-793.79456,-66.879395,9.147522,-0.9835205,0.13452238
32,-542.2184,-790.3281,4.452759,3.4664307,0.13914871,0.10832596
68,-697.42316,-730.2849,-155.20477,60.043213,-2.282423,0.88298845
31,-500.11267,-814.9578,197.31049,-84.67291,6.3648543,-2.7313843
68,-473.32236,-808.39124,26.790314,6.5665894,0.3939752,0.09656749
32,-473.77756,-831.4692,-0.4552002,-23.077942,-0.014225006,-0.7211857
68,-480.27344,-865.22974,-6.49588,-33.76056,-0.09552765,-0.4964788
32,-495.7344,-881.63745,-15.460968,-16.407715,-0.48315525,-0.5127411
68,-495.94415,-866.7065,-0.20974731,14.930969,-0.0030845194,0.21957308
32,-473.67154,-819.18726,22.272614,47.519226,0.6960192,1.4849758
30,-767.6142,-760.5183,-293.94266,58.668945,-9.798089,1.9556315
39,-733.0108,-738.4884,34.603394,22.029907,0.8872665,0.5648694
31,-721.0712,-760.5557,11.939575,-22.067322,0.3851476,-0.7118491
30,-732.91473,-763.54584,-11.843506,-2.9901123,-0.39478353,-0.09967041
38,-716.9458,-774.7002,15.968933,-11.154358,0.42023507,-0.29353574
32,-765.8638,-802.3869,-48.91797,-27.686707,-1.5286865,-0.8652096
30,-768.73395,-798.5697,-2.8701782,3.8171997,-0.09567261,0.12723999
38,-750.8687,-784.28296,17.865234,14.286743,0.47013775,0.37596694
32,-744.5342,-783.4686,6.3345337,0.81433105,0.19795418,0.025447845
68,-746.1968,-829.4911,-1.6625977,-46.02246,-0.024449965,-0.6768009
32,-718.1413,-808.34015,28.055481,21.15094,0.8767338,0.6609669
30,-749.5781,-811.2411,-31.436829,-2.90094,-1.0478942,-0.096698
38,-741.787,-820.5725,7.7911377,-9.331421,0.20502993,-0.2455637
32,-661.6907,-860.9167,80.09631,-40.344177,2.5030098,-1.2607555
30,-718.21185,-812.1869,-56.52118,48.729797,-1.8840393,1.6243266
38,-726.9718,-812.2274,-8.759949,-0.040527344,-0.23052497,-0.001066509
32,-723.46497,-809.5306,3.506836,2.6968384,0.10958862,0.0842762
33,-696.9552,-786.5846,26.509766,22.945984,0.80332625,0.6953328
36,-747.3456,-765.7804,-50.39038,20.8042,-1.3997328,0.57789445
31,-772.1808,-766.07104,-24.835205,-0.2906494,-0.80113566,-0.009375787
