delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-83.08368,0.15240479,-83.08368,0.15240479,-Infinity,Infinity
41,-64.241135,-68.94974,18.842545,-69.10214,0.45957425,-1.6854181
31,-84.93815,-64.2021,-20.697014,4.747635,-0.66764563,0.15314952
33,-95.96704,-70.74165,-11.0288925,-6.539551,-0.33420888,-0.1981682
36,-100.697426,-73.769806,-4.730385,-3.0281525,-0.13139957,-0.08411535
33,-100.24213,-83.49368,0.45529938,-9.723877,0.013796951,-0.29466295
31,-93.43012,-85.24582,6.812004,-1.7521362,0.21974207,-0.056520525
35,-106.37837,-84.102905,-12.94825,1.1429138,-0.36995,0.03265468
34,-105.8692,-69.64882,0.50917053,14.454086,0.014975604,0.42512017
31,-99.583725,-68.37016,6.2854767,1.278656,0.20275731,0.04124697
34,-103.39961,-44.20488,-3.8158875,24.165283,-0.112231985,0.7107436
34,-91.26868,-46.508865,12.130936,-2.3039856,0.3567922,-0.06776428
31,-96.54551,-62.448944,-5.2768326,-15.940079,-0.1702204,-0.5141961
35,-98.078094,-59.569855,-1.5325851,2.8790894,-0.043788146,0.08225969
33,-107.41999,-63.348648,-9.341896,-3.7787933,-0.28308776,-0.11450889
32,-113.46329,-64.87726,-6.043297,-1.5286102,-0.18885303,-0.04776907
38,-139.20967,-51.95288,-25.746384,12.924377,-0.6775364,0.3401152
32,-152.8376,-47.123077,-13.62793,4.8298035,-0.4258728,0.15093136
31,-168.87364,-51.080246,-16.036041,-3.9571686,-0.51729167,-0.1276506
43,-177.60448,-83.751526,-8.730835,-32.67128,-0.20304267,-0.7597972
56,-185.07979,-98.36458,-7.4753113,-14.613052,-0.1334877,-0.26094738
38,-186.89748,-117.635895,-1.817688,-19.271317,-0.047833893,-0.5071399
32,-212.3247,-131.84897,-25.42723,-14.213074,-0.79460096,-0.44415855
31,-185.71681,-122.30211,26.607895,9.54686,0.85831916,0.30796322
37,-189.23846,-122.52466,-3.5216522,-0.22254944,-0.09517979,-0.0060148495
32,-195.10483,-137.06644,-5.8663635,-14.541779,-0.18332386,-0.45443058
31,-168.11594,-151.90427,26.988892,-14.83783,0.8706094,-0.47863966
37,-150.0464,-160.09769,18.069534,-8.19342,0.4883658,-0.2214438
32,-131.72356,-148.09808,18.322845,11.999603,0.5725889,0.3749876
30,-128.16505,-149.16945,3.5585022,-1.0713654,0.11861674,-0.03571218
38,-123.21036,-154.55711,4.9546967,-5.387665,0.13038675,-0.14178066
32,-105.89331,-180.60306,17.317047,-26.045944,0.5411577,-0.81393576
30,-109.65442,-134.11989,-3.7611084,46.48317,-0.12537028,1.549439
38,-111.04334,-122.76843,-1.3889236,11.351456,-0.036550622,0.2987225
32,-110.65297,-93.998856,0.39037323,28.769577,0.012199163,0.8990493
30,-107.51106,-116.9245,3.1419067,-22.925644,0.104730226,-0.7641881
38,-120.32265,-131.80348,-12.811584,-14.878983,-0.33714697,-0.39155218
30,-121.08273,-130.33734,-0.76008606,1.4661407,-0.025336202,0.048871357
32,-137.51556,-160.33066,-16.43283,-29.993317,-0.51352596,-0.93729115
38,-148.15143,-150.47931,-10.635864,9.851349,-0.27989116,0.25924602
32,-149.23006,-167.16376,-1.0786285,-16.684448,-0.033707142,-0.521389
30,-166.16594,-175.18912,-16.935883,-8.02536,-0.5645294,-0.267512
38,-166.66478,-129.19028,-0.49884033,45.99884,-0.013127377,1.2104958
