delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-162.34633,14.095123,-162.34633,14.095123,-Infinity,Infinity
41,-174.8855,12.676956,-12.539169,-1.4181671,-0.3058334,-0.034589443
31,-175.37663,19.10083,-0.49113464,6.423874,-0.015843052,0.20722173
33,-180.23685,28.301102,-4.860214,9.200272,-0.14727922,0.2787961
36,-182.99155,36.079056,-2.7546997,7.777954,-0.07651944,0.21605428
33,-193.32967,29.60559,-10.3381195,-6.473465,-0.31327635,-0.1961656
31,-195.0047,25.110321,-1.6750336,-4.49527,-0.054033343,-0.1450087
35,-196.09613,7.618988,-1.0914307,-17.491333,-0.031183733,-0.49975237
34,-197.07831,14.38942,-0.98217773,6.7704315,-0.028887581,0.19913034
31,-197.05243,11.736542,0.025878906,-2.6528778,8.3480345E-4,-0.085576706
35,-198.44412,12.51123,-1.3916931,0.7746887,-0.03976266,0.022133963
33,-199.09566,12.417908,-0.65153503,-0.093322754,-0.019743485,-0.0028279622
32,-204.28082,8.290482,-5.1851654,-4.127426,-0.16203642,-0.12898207
34,-212.03706,0.27296448,-7.756241,-8.017517,-0.22812474,-0.23580933
33,-215.71712,-2.9458618,-3.6800537,-3.2188263,-0.11151678,-0.09754019
32,-218.7894,-4.1305084,-3.072281,-1.1846466,-0.09600878,-0.037020206
38,-221.77014,-3.6356506,-2.9807434,0.4948578,-0.078440614,0.013022574
32,-225.94772,-4.2319946,-4.177582,-0.596344,-0.13054943,-0.01863575
31,-226.78777,-6.8640747,-0.8400421,-2.63208,-0.027098132,-0.08490581
43,-229.87793,-7.698059,-3.0901642,-0.8339844,-0.071864285,-0.019394986
57,-265.2174,-13.329376,-35.339478,-5.631317,-0.6199908,-0.098795034
37,-281.72153,-22.180908,-16.50412,-8.851532,-0.4460573,-0.23923059
32,-318.5434,-38.050873,-36.82187,-15.869965,-1.1506834,-0.4959364
31,-319.2741,-44.982292,-0.7307129,-6.9314194,-0.023571383,-0.22359417
37,-321.44998,-49.47277,-2.1758728,-4.4904785,-0.058807373,-0.12136428
32,-333.71823,-51.81707,-12.2682495,-2.3442993,-0.3833828,-0.07325935
31,-336.01404,-58.183075,-2.295807,-6.366005,-0.07405829,-0.205355
37,-319.5572,-59.523994,16.456848,-1.3409195,0.4447797,-0.036241066
32,-312.35602,-63.432037,7.201172,-3.908043,0.22503662,-0.12212634
31,-309.82092,-63.39602,2.5350952,0.03601837,0.08177727,0.001161883
37,-311.29196,-65.413345,-1.4710388,-2.0173264,-0.039757807,-0.054522336
32,-290.89658,-76.13637,20.395386,-10.723022,0.6373558,-0.33509445
31,-223.13138,-57.061325,67.7652,19.075043,2.1859741,0.61532396
37,-225.14545,-62.879944,-2.0140686,-5.818619,-0.05443429,-0.15725997
32,-231.02957,-55.3068,-5.8841248,7.573143,-0.1838789,0.23666072
30,-234.67555,-57.839813,-3.6459808,-2.5330124,-0.12153269,-0.08443375
38,-238.05878,-71.25274,-3.3832245,-13.412926,-0.089032225,-0.35297173
31,-240.93463,-78.20241,-2.8758545,-6.949669,-0.092769496,-0.22418287
32,-247.64331,-72.1716,-6.708679,6.0308075,-0.20964622,0.18846273
37,-254.40341,-71.77239,-6.7601013,0.39920807,-0.18270545,0.010789407
32,-257.27124,-87.77794,-2.8678284,-16.005547,-0.08961964,-0.50017333
30,-272.34824,-113.84472,-15.076996,-26.06678,-0.5025665,-0.86889267
38,-257.30292,-68.07803,15.045319,45.766685,0.39592943,1.2043865
31,-276.54993,-78.8282,-19.24701,-10.750168,-0.62087125,-0.3467796
32,-287.06952,-84.88524,-10.519592,-6.0570374,-0.32873726,-0.18928242
37,-315.56445,-107.7594,-28.494934,-22.87416,-0.7701334,-0.61822057
30,-331.04947,-109.61676,-15.485016,-1.8573608,-0.5161672,-0.061912026
32,-345.77335,-105.35756,-14.723877,4.259201,-0.46012115,0.13310003
43,-358.20984,-106.56626,-12.436493,-1.2087021,-0.28922078,-0.028109351
64,-395.22113,-112.76004,-37.01129,-6.193779,-0.5783014,-0.0967778
61,-418.92288,-95.91472,-23.701752,16.845322,-0.38855332,0.27615282
39,-424.90546,-88.105194,-5.9825745,7.8095245,-0.15339935,0.20024422
61,-549.6308,-93.81583,-124.72534,-5.7106323,-2.0446777,-0.093616925
39,-575.59503,-84.390854,-25.964233,9.424973,-0.66574955,0.24166596
30,-589.3332,-73.33021,-13.738159,11.060646,-0.45793864,0.3686882
31,-585.2628,-72.65401,4.0703735,0.67620087,0.13130237,0.02181293
39,-581.8138,-80.20555,3.4490356,-7.551544,0.08843681,-0.19362934
61,-581.06586,-93.83734,0.7479248,-13.63179,0.012261062,-0.22347197
39,-579.6299,-98.894165,1.4359741,-5.0568237,0.03681985,-0.12966214
31,-561.6298,-98.72032,18.000061,0.17384338,0.5806471,0.0056078513
69,-514.3378,-38.0905,47.291992,60.62982,0.6853912,0.87869304
30,-499.40115,-35.541443,14.936676,2.549057,0.4978892,0.08496857
31,-510.2505,-46.50157,-10.849335,-10.960129,-0.34997854,-0.35355255
39,-522.1135,-62.861664,-11.863037,-16.360092,-0.30418044,-0.41948953
61,-496.23236,-65.610664,25.881165,-2.7490005,0.4242814,-0.04506558
39,-482.07645,-91.76723,14.155914,-26.156563,0.36297217,-0.6706811
31,-513.9358,-74.189674,-31.859344,17.577553,-1.0277208,0.56701785
30,-493.2657,-79.42687,20.670105,-5.237198,0.6890035,-0.17457326
39,-479.35016,-85.63502,13.915527,-6.208145,0.3568084,-0.1591832
31,-468.28235,-113.28841,11.06781,-27.653389,0.35702613,-0.8920448
30,-464.2432,-135.14243,4.039154,-21.85402,0.13463847,-0.7284673
39,-465.93698,-139.45828,-1.6937866,-4.315857,-0.043430425,-0.110663
62,-420.68695,-150.08626,45.25003,-10.627975,0.7298392,-0.17141896
38,-411.991,-135.52719,8.695953,14.559067,0.22884087,0.38313332
61,-412.35812,-161.47739,-0.36712646,-25.950195,-0.006018467,-0.42541304
39,-409.6194,-160.01242,2.738739,1.4649658,0.07022408,0.037563227
31,-403.58008,-173.49255,6.0393066,-13.480133,0.19481634,-0.434843
30,-404.32687,-169.7019,-0.74679565,3.7906494,-0.024893189,0.12635498
40,-405.8607,-168.55266,-1.5338135,1.1492462,-0.038345337,0.028731156
30,-406.4333,-169.96832,-0.5726013,-1.4156647,-0.019086711,-0.047188822
37,-405.92932,-168.20366,0.5039673,1.7646637,0.013620737,0.047693614
32,-406.3208,-166.87518,-0.3914795,1.328476,-0.012233734,0.041514874
32,-406.94638,-149.42294,-0.62557983,17.45224,-0.01954937,0.5453825
37,-404.68277,-130.21692,2.2636108,19.206024,0.061178673,0.5190817
32,-406.32767,-125.69249,-1.6448975,4.5244293,-0.051403046,0.14138842
68,-417.40372,-134.30623,-11.07605,-8.613739,-0.16288309,-0.12667263
31,-424.076,-156.20229,-6.6722717,-21.896057,-0.21523458,-0.7063244
69,-429.52844,-196.69046,-5.4524536,-40.488174,-0.07902107,-0.58678514
