delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-162.34633,-279.86185,-162.34633,-279.86185,-Infinity,-Infinity
41,-162.38481,-263.50922,-0.038482666,16.35263,-9.386016E-4,0.39884466
31,-166.67928,-259.2285,-4.294464,4.280731,-0.1385311,0.1380881
33,-167.87613,-249.87468,-1.1968536,9.353806,-0.036268294,0.28344867
36,-170.1559,-254.37245,-2.27977,-4.497772,-0.06332694,-0.124938115
33,-187.24509,-270.41556,-17.089188,-16.043106,-0.51785415,-0.48615474
31,-186.18576,-267.30432,1.0593262,3.1112366,0.034171812,0.10036247
35,-185.97556,-284.70044,0.21020508,-17.396118,0.0060058595,-0.49703196
34,-186.72318,-286.9485,-0.7476196,-2.2480469,-0.021988813,-0.06611902
31,-188.30034,-291.35843,-1.5771637,-4.4099426,-0.05087625,-0.14225622
35,-183.227,-277.05234,5.0733337,14.306091,0.14495239,0.40874547
33,-179.95801,-271.42584,3.2689972,5.6264954,0.09906052,0.17049986
32,-181.6465,-271.82562,-1.6884918,-0.39978027,-0.05276537,-0.012493134
35,-186.72923,-280.07556,-5.082733,-8.249939,-0.14522095,-0.23571254
32,-194.76022,-291.10132,-8.030991,-11.025757,-0.25096846,-0.3445549
33,-192.19893,-287.00885,2.5612946,4.0924683,0.077614985,0.12401419
37,-198.68118,-290.80115,-6.482254,-3.7922974,-0.17519605,-0.10249452
32,-212.7442,-299.192,-14.063019,-8.390839,-0.43946934,-0.2622137
31,-217.18828,-300.62704,-4.4440765,-1.4350586,-0.1433573,-0.04629221
43,-218.37665,-300.2651,-1.1883698,0.36193848,-0.027636506,0.008417174
57,-270.60986,-309.05692,-52.233215,-8.791809,-0.9163722,-0.15424226
37,-287.48077,-317.6672,-16.87091,-8.610291,-0.45597056,-0.23271056
32,-293.87,-322.64252,-6.389221,-4.9753113,-0.19966316,-0.15547848
31,-281.30948,-343.17697,12.560516,-20.534454,0.40517795,-0.66240174
37,-304.46762,-347.35938,-23.158142,-4.1824036,-0.62589574,-0.11303794
32,-312.74768,-350.0715,-8.28006,-2.7121277,-0.25875187,-0.08475399
31,-308.31815,-364.05264,4.429535,-13.98114,0.14288822,-0.45100453
37,-306.0413,-358.92218,2.2768555,5.1304626,0.061536632,0.13866115
32,-225.93707,-330.564,80.10422,28.358185,2.5032568,0.8861933
31,-225.44897,-338.6993,0.48809814,-8.135315,0.015745101,-0.2624295
37,-246.00667,-359.92438,-20.557693,-21.225067,-0.55561334,-0.5736505
32,-245.98248,-374.65198,0.02418518,-14.7276,7.557869E-4,-0.4602375
31,-231.05258,-367.9345,14.929901,6.7174683,0.4816097,0.21669252
37,-226.1762,-366.84692,4.8763885,1.0875854,0.13179429,0.029394202
32,-226.02722,-363.0688,0.14897156,3.7781372,0.004655361,0.11806679
30,-222.65979,-367.92908,3.3674316,-4.8602905,0.11224772,-0.16200969
38,-222.97015,-381.34866,-0.31036377,-13.419586,-0.008167468,-0.353147
31,-225.08455,-399.354,-2.1143951,-18.00534,-0.068206295,-0.58081746
32,-227.42961,-387.41544,-2.3450623,11.938568,-0.073283195,0.37308025
37,-228.7756,-383.4098,-1.345993,4.0056458,-0.03637819,0.1082607
32,-230.34325,-394.55475,-1.5676422,-11.1449585,-0.04898882,-0.34827995
30,-247.82957,-432.82938,-17.486328,-38.274628,-0.5828776,-1.275821
38,-253.12405,-385.53033,-5.2944794,47.29904,-0.1393284,1.2447116
31,-279.42606,-404.77844,-26.302002,-19.248108,-0.8484517,-0.6209067
32,-291.78796,-402.38098,-12.361908,2.397461,-0.38630962,0.074920654
37,-307.26724,-438.2079,-15.479279,-35.826904,-0.4183589,-0.96829474
30,-336.00232,-439.44934,-28.735077,-1.2414551,-0.9578359,-0.041381836
32,-327.5342,-423.2273,8.468109,16.222046,0.2646284,0.50693893
43,-355.26166,-422.97043,-27.727448,0.25686646,-0.6448244,0.0059736385
64,-384.32144,-426.82883,-29.059784,-3.8583984,-0.45405912,-0.060287476
61,-400.18732,-409.1469,-15.865875,17.681915,-0.2600963,0.28986746
39,-435.32663,-401.68008,-35.139313,7.4668274,-0.901008,0.19145711
61,-479.45294,-432.39902,-44.126312,-30.718933,-0.7233822,-0.5035891
39,-510.15787,-392.85742,-30.704926,39.541595,-0.7873058,1.013887
30,-549.0776,-373.5898,-38.91971,19.267609,-1.2973236,0.64225364
31,-558.0697,-389.8844,-8.992126,-16.294586,-0.2900686,-0.5256318
39,-530.7086,-403.3142,27.361084,-13.42981,0.7015663,-0.3443541
61,-519.1034,-413.55377,11.605225,-10.239563,0.19024958,-0.16786169
