delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-226.18387,300.4892,-226.18387,300.4892,-Infinity,Infinity
40,-244.6158,305.38306,-18.43193,4.89386,-0.46079826,0.1223465
32,-258.78287,312.69333,-14.1670685,7.310272,-0.4427209,0.228446
33,-279.5656,323.91284,-20.782745,11.219513,-0.6297802,0.33998525
36,-289.9284,324.90186,-10.362793,0.9890137,-0.28785536,0.027472602
33,-294.92838,318.8244,-4.9999695,-6.0774536,-0.15151423,-0.18416525
30,-296.8806,317.10352,-1.95224,-1.7208862,-0.06507467,-0.057362873
36,-297.37985,317.8482,-0.49923706,0.74468994,-0.013867696,0.020685831
34,-297.70224,319.32584,-0.3223877,1.4776306,-0.009481991,0.043459725
31,-295.8999,314.5886,1.8023376,-4.7372437,0.058139924,-0.15281431
34,-295.4897,303.72128,0.4102173,-10.86731,0.012065214,-0.31962675
34,-294.86057,307.3144,0.6291199,3.5931091,0.018503526,0.10567968
31,-288.51144,302.16626,6.349121,-5.1481323,0.20481035,-0.16606878
35,-285.9554,298.50885,2.5560303,-3.6574097,0.073029436,-0.10449742
33,-286.91202,295.85947,-0.956604,-2.6493835,-0.028988,-0.08028435
32,-288.83325,293.94388,-1.9212341,-1.9155884,-0.060038567,-0.059862137
38,-296.12125,290.39297,-7.2879944,-3.5509033,-0.19178933,-0.093444824
32,-301.70746,289.7254,-5.586212,-0.667572,-0.17456913,-0.020861626
31,-303.59915,286.8812,-1.8916931,-2.8442078,-0.06102236,-0.09174864
42,-303.96756,287.10236,-0.3684082,0.22116089,-0.0087716235,0.0052657356
57,-307.62982,279.1009,-3.662262,-8.001465,-0.06425021,-0.14037658
38,-313.44086,277.24884,-5.811035,-1.8520508,-0.15292197,-0.048738178
32,-326.4379,266.18842,-12.99704,-11.060425,-0.4061575,-0.34563828
30,-312.86,251.90677,13.577911,-14.281647,0.45259705,-0.47605488
38,-307.81927,243.35596,5.0407104,-8.550812,0.13265027,-0.22502136
32,-311.35886,242.44556,-3.5395813,-0.9104004,-0.110611916,-0.028450012
31,-311.89197,240.34653,-0.5331116,-2.0990295,-0.017197147,-0.06771063
37,-310.42575,234.79697,1.466217,-5.5495605,0.03962749,-0.14998813
32,-303.26282,234.64691,7.1629333,-0.15005493,0.22384167,-0.0046892166
30,-291.763,232.64267,11.499817,-2.004242,0.38332722,-0.06680807
38,-289.75058,227.01688,2.0124207,-5.6257935,0.05295844,-0.1480472
32,-286.9238,212.45825,2.8267822,-14.558624,0.088336945,-0.454957
30,-285.3513,223.7675,1.5725098,11.30925,0.05241699,0.376975
38,-281.52454,223.83856,3.8267517,0.07106018,0.10070399,0.0018700048
32,-277.46893,224.71678,4.055603,0.8782196,0.1267376,0.027444363
30,-277.2101,225.60703,0.25881958,0.89024353,0.00862732,0.029674785
38,-278.06207,219.17825,-0.8519592,-6.428772,-0.02241998,-0.1691782
30,-277.72882,215.09299,0.33325195,-4.085266,0.011108398,-0.13617554
32,-292.9239,203.83263,-15.195068,-11.260361,-0.4748459,-0.35188627
38,-311.52896,205.83066,-18.605072,1.9980316,-0.48960716,0.05257978
32,-322.47858,183.26605,-10.9496155,-22.564606,-0.34217548,-0.7051439
30,-326.8203,168.79985,-4.341736,-14.466202,-0.14472453,-0.48220673
38,-324.78546,232.18404,2.034851,63.384186,0.053548712,1.6680049
30,-329.45706,226.23622,-4.6716003,-5.947815,-0.15572001,-0.1982605
32,-332.219,216.41481,-2.7619324,-9.821411,-0.08631039,-0.3069191
38,-342.31354,183.20955,-10.094543,-33.20526,-0.2656459,-0.8738227
