delta_t,x,y,delta_x,delta_y,speed_x,speed_y
0,-299.8547,141.67374,-299.8547,141.67374,-Infinity,Infinity
41,-309.28482,142.46686,-9.430115,0.79312134,-0.2300028,0.019344423
32,-318.31082,143.65308,-9.026001,1.1862183,-0.28206253,0.03706932
33,-329.8636,150.15413,-11.552765,6.501053,-0.3500838,0.1970016
36,-339.3467,151.22592,-9.483124,1.0717926,-0.2634201,0.029772017
33,-348.98233,145.71695,-9.63562,-5.508972,-0.2919885,-0.16693854
30,-353.0895,142.46892,-4.1071777,-3.2480316,-0.13690592,-0.10826772
36,-351.5405,134.00221,1.5490112,-8.466705,0.04302809,-0.23518626
34,-353.04514,137.4685,-1.5046387,3.4662933,-0.04425408,0.1019498
31,-352.7728,134.35796,0.27233887,-3.11055,0.008785125,-0.10034032
34,-352.16177,128.9948,0.61102295,-5.363159,0.017971262,-0.15773998
34,-351.54404,132.10419,0.6177368,3.1093903,0.01816873,0.09145266
31,-349.4504,129.35547,2.093628,-2.7487183,0.067536384,-0.08866833
35,-351.22385,126.334236,-1.7734375,-3.0212326,-0.050669644,-0.08632093
33,-353.44318,123.84177,-2.2193298,-2.4924698,-0.06725242,-0.07552939
32,-355.88254,122.30995,-2.4393616,-1.5318146,-0.07623005,-0.047869205
38,-359.7903,119.21595,-3.9077759,-3.0940018,-0.10283621,-0.0814211
32,-365.18704,118.13289,-5.3967285,-1.0830612,-0.16864777,-0.033845663
31,-367.95825,115.669655,-2.7712097,-2.463234,-0.08939386,-0.07945916
42,-370.5814,115.69486,-2.6231384,0.02520752,-0.062455676,6.00179E-4
57,-389.00323,117.857086,-18.421844,2.1622238,-0.32319024,0.037933752
38,-397.69858,115.75007,-8.695343,-2.1070175,-0.22882481,-0.055447828
32,-410.0599,105.65994,-12.361328,-10.090126,-0.3862915,-0.31531644
30,-404.07663,99.217186,5.9832764,-6.4427567,0.19944255,-0.21475856
38,-405.00912,92.57589,-0.9324951,-6.6412964,-0.024539346,-0.17477095
32,-412.03287,93.95722,-7.0237427,1.3813324,-0.21949196,0.043166637
31,-412.14124,88.92515,-0.10836792,-5.032074,-0.0034957393,-0.16232497
37,-405.58643,83.04201,6.5548096,-5.8831406,0.17715701,-0.1590038
32,-397.69315,80.08987,7.89328,-2.9521408,0.246665,-0.0922544
30,-392.08337,79.24385,5.6097717,-0.84601593,0.18699239,-0.028200531
38,-391.65048,75.393036,0.43289185,-3.8508148,0.01139189,-0.10133723
32,-384.70322,60.911182,6.9472656,-14.4818535,0.21710205,-0.45255792
30,-368.4446,59.810036,16.258606,-1.1011467,0.5419535,-0.03670489
38,-367.60126,62.494694,0.8433533,2.684658,0.022193506,0.07064889
32,-367.56293,69.83273,0.038330078,7.3380394,0.0011978149,0.22931373
30,-369.1426,69.20742,-1.5796814,-0.6253128,-0.052656047,-0.020843761
38,-374.30646,63.764782,-5.163849,-5.4426384,-0.13589077,-0.14322732
30,-377.14288,59.84331,-2.8364258,-3.9214706,-0.094547525,-0.13071568
32,-386.96152,48.53657,-9.818634,-11.30674,-0.3068323,-0.35333562
38,-397.5379,44.670746,-10.5763855,-3.8658257,-0.27832595,-0.101732254
32,-410.68405,24.542343,-13.146149,-20.128403,-0.41081715,-0.6290126
30,-421.56198,5.9909787,-10.87793,-18.551365,-0.36259764,-0.6183788
38,-408.32822,48.23676,13.233765,42.24578,0.34825698,1.111731
30,-405.51178,44.780945,2.8164368,-3.4558144,0.09388123,-0.115193814
32,-401.87527,43.731785,3.6365051,-1.04916,0.113640785,-0.03278625
38,-442.72134,51.049072,-40.84607,7.3172874,-1.0748966,0.1925602
30,-457.0672,52.113865,-14.345856,1.0647926,-0.4781952,0.035493087
32,-466.26306,57.468834,-9.195862,5.354969,-0.28737068,0.16734278
43,-477.8622,70.65272,-11.599152,13.183884,-0.2697477,0.30660194
64,-523.8125,52.294136,-45.950287,-18.358582,-0.71797323,-0.28685284
61,-556.09827,42.63245,-32.285767,-9.661686,-0.5292749,-0.15838829
39,-570.0371,41.722973,-13.938843,-0.90947723,-0.35740623,-0.02331993
61,-626.2594,55.44998,-56.22229,13.727009,-0.9216769,0.22503293
39,-636.84174,70.5662,-10.582336,15.116219,-0.27134195,0.38759536
30,-642.6155,82.07527,-5.7737427,11.509071,-0.1924581,0.3836357
31,-643.11145,82.94278,-0.49597168,0.86750793,-0.015999086,0.027984127
39,-642.9041,78.31044,0.20733643,-4.6323395,0.0053163185,-0.11877794
61,-646.169,60.57807,-3.2648926,-17.732368,-0.05352283,-0.29069456
39,-639.78455,55.03651,6.3844604,-5.541561,0.16370411,-0.1420913
31,-627.5019,60.439438,12.282654,5.4029274,0.39621463,0.17428797
69,-627.625,128.24872,-0.12310791,67.80928,-0.0017841726,0.9827432
30,-615.49445,129.97682,12.130554,1.7281036,0.4043518,0.057603456
30,-614.77454,113.192116,0.71990967,-16.784706,0.023996988,-0.5594902
40,-611.1132,106.23321,3.661316,-6.958908,0.0915329,-0.1739727
61,-601.5407,91.2651,9.57251,-14.968109,0.1569264,-0.24537884
39,-586.17206,76.165825,15.368652,-15.099274,0.394068,-0.38716087
30,-590.3734,91.578606,-4.201355,15.412781,-0.14004517,0.5137594
31,-584.47253,90.126015,5.900879,-1.452591,0.19035093,-0.04685777
39,-578.8478,71.41654,5.624756,-18.709473,0.14422451,-0.47973007
30,-574.20807,40.435673,4.6397095,-30.98087,0.15465698,-1.0326957
31,-566.3814,17.066633,7.82666,-23.36904,0.2524729,-0.75383997
39,-565.41034,13.718494,0.97106934,-3.3481388,0.024899215,-0.08584971
62,-538.0051,59.35396,27.405212,45.635464,0.44201955,0.73605585
38,-536.79047,61.49388,1.2146606,2.139923,0.031964753,0.056313764
61,-481.78024,50.384647,55.010223,-11.109234,0.90180695,-0.1821186
39,-490.12256,39.79734,-8.342316,-10.587307,-0.21390553,-0.2714694
31,-494.21103,-23.816015,-4.0884705,-63.613358,-0.13188614,-2.0520437
30,-498.6624,-17.792992,-4.4513855,6.0230236,-0.14837952,0.20076746
40,-499.53485,-13.504124,-0.8724365,4.288868,-0.021810913,0.1072217
30,-499.63007,-15.122658,-0.095214844,-1.6185341,-0.0031738281,-0.053951137
37,-499.1637,-6.3088293,0.46636963,8.813828,0.012604585,0.23821159
32,-501.01065,-5.9261947,-1.8469543,0.38263464,-0.057717323,0.0119573325
31,-517.94745,13.532912,-16.936798,19.459106,-0.54634833,0.6277131
37,-517.15515,23.788076,0.79229736,10.255164,0.021413442,0.2771666
32,-513.4309,28.751196,3.7242432,4.9631195,0.1163826,0.15509748
68,-522.76154,25.727287,-9.330627,-3.0239086,-0.13721511,-0.044469245
32,-513.4398,-5.0389056,9.321716,-30.766193,0.29130363,-0.96144354
69,-515.9946,-33.89335,-2.5548096,-28.854443,-0.037026227,-0.41818032
31,-529.9293,-53.79929,-13.934692,-19.905941,-0.4495062,-0.64212716
